objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E14000530,Aldershot,484884,155126,-0.7841,51.28895187,52978159.2789832,42197.660528399
2,E14000531,Aldridge-Brownhills,404723,302568,-1.93166006,52.62086868,44016548.2744429,38590.1823993881
3,E14000532,Altrincham and Sale West,374132,389051,-2.39049006,53.3976593,50929377.5988991,47813.4153355098
4,E14000533,Amber Valley,440478,349675,-1.39769995,53.04283142,124646423.975386,64665.3265068266
5,E14000534,Arundel and South Downs,510689,115542,-0.42631,50.92871094,646512895.12387,231000.949632599
6,E14000535,Ashfield,450035,355939,-1.25419998,53.09833145,107711816.292017,63095.2564313753
7,E14000536,Ashford,595733,138824,0.79516703,51.11526108,503672491.795477,154449.55588717
8,E14000537,Ashton-under-Lyne,392394,399819,-2.11611009,53.49502945,27792131.9951517,38097.6736045019
9,E14000538,Aylesbury,482160,199541,-0.81282997,51.68862152,185457079.401353,150691.635474487
10,E14000539,Banbury,441108,233685,-1.40260005,52.00009918,463664226.012958,193904.076808408
19,E14000548,Batley and Spen,420570,425305,-1.68973994,53.7237587,55060287.1013379,47395.892792891
11,E14000540,Barking,546099,184533,0.105346,51.54079056,21718107.0424846,27250.8103776793
12,E14000541,Barnsley Central,433719,408537,-1.49228001,53.57236862,48369590.6399573,51122.3211856125
13,E14000542,Barnsley East,439730,404883,-1.40198004,53.53910828,86803998.3915404,59925.8835394513
14,E14000543,Barrow and Furness,325384,484663,-3.14672995,54.25218964,397596752.891641,190554.768322949
15,E14000544,Basildon and Billericay,569070,192467,0.440099,51.60565948,60231747.6534233,38649.2227124806
16,E14000545,Basingstoke,465234,151979,-1.06641996,51.26324081,58915642.6074557,47990.3819695479
17,E14000546,Bassetlaw,469769,385126,-0.95315999,53.35842896,480424352.644689,140357.011820656
18,E14000547,Bath,374693,164413,-2.36499,51.37818909,28675524.6458108,34772.0498122282
20,E14000549,Battersea,527493,175641,-0.16599999,51.46538162,10974224.6549315,21430.8131003894
21,E14000550,Beaconsfield,498198,185455,-0.58484,51.55944061,176255333.159165,105905.240977457
22,E14000551,Beckenham,540141,167041,0.012564,51.38512039,34484271.064963,36829.8602522862
24,E14000553,Bermondsey and Old Southwark,533846,178919,-0.07335,51.4933815,11475727.456607,20831.2641966472
23,E14000552,Bedford,505470,248675,-0.46072,52.12633896,33939233.3926044,35848.0693303395
25,E14000554,Berwick-upon-Tweed,404456,611882,-1.93120003,55.40085983,2427302845.92822,404945.539041163
