National Team,Position,Club Name,Club Country,DOB,Age,Height,Weight
Argentina,GK,Tigres UANL,MEX,10.02.1986,32,192,90
Argentina,DF,Sevilla FC,ESP,18.03.1987,31,181,81
Argentina,DF,AFC Ajax,NED,31.08.1992,25,169,65
Argentina,DF,Torino FC,ITA,20.09.1986,31,181,73
Argentina,MF,AC Milan,ITA,30.01.1986,32,175,73
Argentina,DF,AS Roma,ITA,17.03.1987,31,199,85
Argentina,MF,Sevilla FC,ESP,29.06.1988,29,175,73
Argentina,DF,Sporting CP,POR,28.10.1991,26,172,77
Argentina,FW,Juventus FC,ITA,10.12.1987,30,184,75
Argentina,FW,FC Barcelona,ESP,24.06.1987,30,170,72
Argentina,MF,Paris Saint-Germain FC,FRA,14.02.1988,30,178,75
Argentina,GK,CA River Plate,ARG,16.10.1986,31,189,85
Argentina,MF,CA Independiente,ARG,15.12.1992,25,180,76
Argentina,DF,Hebei China Fortune FC,CHN,08.06.1984,34,174,73
Argentina,MF,West Ham United FC,ENG,15.02.1993,25,167,66
Argentina,DF,Manchester United FC,ENG,20.03.1990,28,189,82
Argentina,DF,Manchester City FC,ENG,12.02.1988,30,181,81
Argentina,DF,SL Benfica,POR,13.07.1990,27,167,69
Argentina,FW,Manchester City FC,ENG,02.06.1988,30,172,74
Argentina,MF,Paris Saint-Germain FC,FRA,09.04.1996,22,177,75
Argentina,FW,Juventus FC,ITA,15.11.1993,24,177,73
Argentina,MF,CA Boca Juniors,ARG,21.01.1996,22,169,65
Argentina,GK,Chelsea FC,ENG,28.09.1981,36,186,80
Australia,GK,Brighton & Hove Albion FC,ENG,08.04.1992,26,184,82
Australia,DF,Yokohama F-Marinos,JPN,28.04.1994,24,187,85
Australia,DF,Millwall FC,ENG,05.04.1988,30,179,71
Australia,FW,Millwall FC,ENG,06.12.1979,38,180,76
Australia,DF,Al Ahli SC,KSA,04.08.1985,32,178,78
Australia,DF,Suwon Samsung Bluewings FC,KOR,08.12.1989,28,190,83
Australia,FW,Hertha BSC,GER,04.02.1991,27,181,84
Australia,MF,Queens Park Rangers FC,ENG,25.09.1992,25,176,76
Australia,FW,FC Luzern,SUI,22.07.1991,26,190,80
Australia,FW,VfL Bochum,GER,05.10.1988,29,180,66
Australia,FW,Urawa Reds,JPN,17.12.1992,25,178,85
Australia,GK,Feyenoord Rotterdam,NED,19.03.1982,36,193,87
Australia,MF,Huddersfield Town FC,ENG,15.09.1990,27,173,72
Australia,FW,Hibernian FC,SCO,29.07.1993,24,178,72
Australia,MF,Aston Villa FC,ENG,03.08.1984,33,188,78
Australia,DF,Bursaspor,TUR,16.12.1990,27,170,63
Australia,FW,Melbourne City FC,AUS,04.01.1999,19,171,73
Australia,GK,KRC Genk,BEL,27.03.1985,33,187,94
Australia,DF,WS Wanderers FC,AUS,27.07.1992,25,169,70
Australia,DF,Grasshopper Club,SUI,05.01.1992,26,183,76
Australia,FW,Newcastle United Jets FC,AUS,10.11.1992,25,176,72
Australia,MF,Hull City FC,ENG,07.03.1993,25,180,77
