Player,National Team,National Team Country,Group,Position,Club Name,Club Town,Club Country,Raw Club Name,Same Country
Igor Akinfeev,Russia,Russia,A,Goalkeeper,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Vladimir Gabulov,Russia,Russia,A,Goalkeeper,Club Brugge,Bruges,Belgium,Club Brugge,N
Soslan Dzhanaev,Russia,Russia,A,Goalkeeper,Rubin Kazan,Kazan,Russia,Rubin Kazan,Y
Andrey Lunev,Russia,Russia,A,Goalkeeper,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Vladimir Granat,Russia,Russia,A,Defender,Rubin Kazan,Kazan,Russia,Rubin Kazan,Y
Fedor Kudryashov,Russia,Russia,A,Defender,Rubin Kazan,Kazan,Russia,Rubin Kazan,Y
Ilya Kutepov,Russia,Russia,A,Defender,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Roman Neustadter,Russia,Russia,A,Defender,Fenerbahce,Istanbul,Turkey,Fenerbahce,N
Konstantin Rausch,Russia,Russia,A,Defender,Dynamo Moscow,Moscow,Russia,Dynamo Moscow,Y
Andrey Semenov,Russia,Russia,A,Defender,Akhmat Grozny,Grozny,Russia,Akhmat Grozny,Y
Igor Smolnikov,Russia,Russia,A,Defender,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Sergei Ignashevich,Russia,Russia,A,Defender,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Mario Fernandes,Russia,Russia,A,Defender,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Yuri Gazinskiy,Russia,Russia,A,Midfield,Krasnodar,Krasnodar,Russia,Krasnodar,Y
Alexsandr Golovin,Russia,Russia,A,Midfield,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Alan Dzagoev,Russia,Russia,A,Midfield,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Aleksandr Erokhin,Russia,Russia,A,Midfield,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Yuri Zhirkov,Russia,Russia,A,Midfield,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Daler Kuzyaev,Russia,Russia,A,Midfield,Zenit St Petersburg,St Petersburg,Russia,Zenit St Petersburg,Y
Roman Zobnin,Russia,Russia,A,Midfield,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Alexsandr Samedov,Russia,Russia,A,Midfield,Spartak Moscow,Moscow,Russia,Spartak Moscow,Y
Anton Miranchuk,Russia,Russia,A,Midfield,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,Y
Aleksandr Tashaev,Russia,Russia,A,Midfield,Dynamo Moscow,Moscow,Russia,Dynamo Moscow,Y
Denis Cheryshev,Russia,Russia,A,Midfield,Villarreal,Villarreal,Spain,Villarreal,N
Artem Dzyuba,Russia,Russia,A,Forward,Arsenal Tula,Tula,Russia,Arsenal Tula,Y
Aleksey Miranchuk,Russia,Russia,A,Forward,Lokomotiv Moscow,Moscow,Russia,Lokomotiv Moscow,Y
Fedor Smolov,Russia,Russia,A,Forward,Krasnodar,Krasnodar,Russia,Krasnodar,Y
Fedor Chalov,Russia,Russia,A,Forward,CSKA Moscow,Moscow,Russia,CSKA Moscow,Y
Assaf Al-Qarny,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Ittihad,Jeddah,Saudi Arabia,Al-Ittihad,Y
Mohammed Al-Owais,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,Y
Yasser Al-Musailem,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,Y
Abdullah Al-Mayuf,Saudi Arabia,Saudi Arabia,A,Goalkeeper,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Mansoor Al-Harbi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,Y
Yasser Al-Shahrani,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Mohammed Al-Breik,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Saeed Al-Mowalad,Saudi Arabia,Saudi Arabia,A,Defender,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,Y
Motaz Hawsawi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Ahli,Jeddah,Saudi Arabia,Al-Ahli,Y
Osama Hawsawi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Omar Hawsawi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Nassr,Riyadh,Saudi Arabia,Al Nassr,Y
Mohammed Jahfali,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Ali Al-Bulaihi,Saudi Arabia,Saudi Arabia,A,Defender,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Abdullah Al-Khaibari,Saudi Arabia,Saudi Arabia,A,Midfield,Al-Shabab,Riyadh,Saudi Arabia,Al Shabab,Y
Abdulmalek Al-Khaibri,Saudi Arabia,Saudi Arabia,A,Midfield,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Abdullah Otayf,Saudi Arabia,Saudi Arabia,A,Midfield,Al-Hilal,Riyadh,Saudi Arabia,Al Hilal,Y
Taiseer Al-Jassim,Saudi Arabia,Saudi Arabia,A,Midfield,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
Houssain Al-Mogahwi,Saudi Arabia,Saudi Arabia,A,Midfield,Al-Ahli,Jeddah,Saudi Arabia,Al Ahli,Y
