Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2015-04-01,01:14:27,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,133,,51.00,12.00,7.00,30.00,13,67.31,,97.81,13
2015-04-01,01:29:05,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,128,,46.00,14.00,17.00,23.00,15,65.56,,100.19,15
2015-04-01,01:44:08,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,121,,47.00,12.00,9.00,32.00,14,66.88,,98.50,14
2015-04-01,01:59:20,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,117,,41.00,14.00,7.00,38.00,15,63.94,,102.75,15
2015-04-01,02:14:44,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,120,,36.00,11.00,13.00,40.00,15,64.71,,101.59,15
2015-04-01,02:29:19,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,115,,38.00,10.00,13.00,39.00,15,65.25,,100.88,15
2015-04-01,02:44:19,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,109,,33.00,12.00,11.00,44.00,15,64.25,,102.38,15
2015-04-01,02:59:57,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,110,,35.00,10.00,10.00,45.00,14,65.93,,100.20,14
2015-04-01,03:14:57,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,104,,36.00,10.00,16.00,38.00,15,69.38,,94.69,15
2015-04-01,03:29:56,9,199004302,M25,mainCarriageway,M25 anti-clockwise between J20 and J19,1.00,1823.63090,51.694372244302599 ; -0.446515567261298,51.679410905605998 ; -0.454129767350668,111,,48.00,11.00,9.00,32.00,15,65.56,,100.38,15
